id,loan_amnt_USD,funded_amnt_USD,int_rate,installment_USD,total_pymnt_USD,Exchange_Rate,loan_amnt_EUR,funded_amnt_EUR,installment_EUR,total_pymnt_EUR,Issue_date,loan_status,term,sub_grade,verification_status,addr_state
48010226.0,35000.0,35000.0,0.1333,1184.86,9452.96,1.0960345268249512,31933.300588066133,31933.300588066133,1081.0425867078868,8624.69180362759,5.0,1.0,36.0,13.0,1.0,1.0
57693261.0,30000.0,30000.0,0.06,938.57,4679.7,1.1056866943836212,27132.459992858894,27132.459992858894,848.8570991832524,4232.392434286058,0.0,1.0,36.0,5.0,1.0,4.0
59432726.0,15000.0,15000.0,0.06,494.86,1969.83,1.1255937814712524,13326.299635729729,13326.299635729729,439.64350918248095,1750.0363207632995,9.0,1.0,36.0,10.0,1.0,4.0
53222800.0,9600.0,9600.0,0.06,300.35,1793.68,1.0939244031906128,8775.74352670075,8775.74352670075,274.5619341921427,1639.674546767979,7.0,1.0,36.0,5.0,0.0,3.0
57803010.0,8075.0,8075.0,0.19190000000000002,296.78,1178.51,1.1340054273605347,7120.777207208826,7120.777207208826,261.70950582729847,1039.2454670548204,8.0,1.0,36.0,23.0,1.0,2.0
63398019.0,14400.0,14400.0,0.1399,334.99,681.17,1.100897192955017,13080.24045492174,13080.24045492174,304.2881770829329,618.7407910193779,10.0,1.0,60.0,14.0,0.0,2.0
60850626.0,1000.0,13000.0,0.24989999999999998,381.5,1126.45,1.1255937814712524,888.4199757153153,11549.4596842991,338.9322207353928,1000.7606816445169,9.0,1.0,60.0,29.0,1.0,1.0
46816139.0,7500.0,7500.0,0.1333,253.9,2025.65,1.1114321947097778,6748.049980645408,6748.049980645408,228.44398534478256,1822.558325772583,4.0,1.0,36.0,13.0,0.0,2.0
63918356.0,8000.0,8000.0,0.06,250.29,497.07,1.0583018064498901,7559.280302880967,7559.280302880967,236.50153337600963,469.6864325191303,11.0,1.0,36.0,5.0,1.0,4.0
63651616.0,7200.0,7200.0,0.06,241.18,512.57,1.0583018064498901,6803.352272592871,6803.352272592871,227.89340293110396,484.3325381059622,11.0,1.0,36.0,12.0,0.0,2.0
56069330.0,1000.0,6200.0,0.1561,216.79,1073.2,1.0939244031906128,914.1399506979947,5667.667694327567,198.17639991181827,981.0549950890879,7.0,1.0,36.0,16.0,1.0,2.0
39641145.0,21000.0,21000.0,0.06,701.42,5582.45,1.1287955045700073,18603.901162770435,18603.901162770435,621.38801683764,4945.492764100372,1.0,0.0,36.0,11.0,0.0,3.0
52311217.0,15000.0,15000.0,0.1333,343.84,15643.5,1.122296690940857,13365.449725620258,13365.449725620258,306.3717489104846,13938.827518849368,6.0,0.0,60.0,13.0,0.0,1.0
65775524.0,10000.0,10000.0,0.1318,228.46,217.48,1.0583018064498901,9449.100378601208,9449.100378601208,215.87414724952322,205.49903503381907,11.0,1.0,60.0,13.0,0.0,2.0
57336468.0,21000.0,21000.0,0.06,700.42,3487.76,1.1340054273605347,18518.429888716455,18518.429888716455,617.6513648883227,3075.6113823176047,8.0,0.0,36.0,11.0,0.0,1.0
